Use only hearts, ❤️
One continuous line, ✏️
Use only circles, ⭕
Use only squares, ⬜
Non-dominant hand, 🤚
Draw upside down, 🙃
Eyes closed, 😑
Use only dots, •
Draw in 30 seconds, ⏱️
Tiny (thumb-sized), 🤏
HUGE (fill the page), 📄
Use only 3 colors, 🎨
Make it rainbow, 🌈
Only straight lines, 📏
Only curved lines, 〰️
Make it symmetrical, 🪞
Robot version, 🤖
Draw it melting, 💧
Draw it flying, 🕊️
Add silly accessories, 🎩
Draw it dancing, 💃
Make it angry, 😠
Make it happy, 😄
Draw it with a hat, 🧢
Give it superpowers, ⚡
Baby version, 👶
Make it sparkly, ✨
Draw it in a storm, 🌩️
Draw it sleeping, 😴
Shapes only, 🔷
