Utilise seulement des coeurs, ❤️
Une ligne continue, ✏️
Utilise seulement des cercles, ⭕
Utilise seulement des carrés, ⬜
Main non dominante, 🤚
Dessine à l'envers, 🙃
Les yeux fermés, 😑
Utilise seulement des points, •
Dessine en 30 secondes, ⏱️
Minuscule (taille du pouce), 🤏
ÉNORME (remplis la page), 📄
Utilise seulement 3 couleurs, 🎨
Fais-le arc-en-ciel, 🌈
Seulement lignes droites, 📏
Seulement lignes courbes, 〰️
Ajoute des motifs partout, 🔲
Rends-le symétrique, 🪞
Version robot, 🤖
Dessine-le en train de fondre, 💧
Dessine-le en train de voler, 🕊️
Ajoute des accessoires rigolos, 🎩
Dessine-le en train de danser, 💃
Rends-le fâché, 😠
Rends-le joyeux, 😄
Dessine-le avec un chapeau, 🧢
Donne-lui des super-pouvoirs, ⚡
Version bébé, 👶
Rends-le brillant, ✨
Dessine-le dans une tempête, 🌩️
Dessine-le en train de dormir, 😴
Formes seulement, 🔷
